"Delivery Date","Time Slot","Slot Number","Buy Bid(MW)","Sell Bid (MW)","Unconstraint MCP (INR/MWh)","Unconstraint MCV (MW)","MCV*(MW)"
"05-04-2021","00:00-00:15","1","30.00","115.00","-","-","-"
"05-04-2021","00:15-00:30","2","30.00","115.00","-","-","-"
"05-04-2021","00:30-00:45","3","30.00","115.00","-","-","-"
"05-04-2021","00:45-01:00","4","30.00","115.00","-","-","-"
"05-04-2021","01:00-01:15","5","30.00","115.00","-","-","-"
"05-04-2021","01:15-01:30","6","30.00","115.00","-","-","-"
"05-04-2021","01:30-01:45","7","30.00","115.00","-","-","-"
"05-04-2021","01:45-02:00","8","30.00","115.00","-","-","-"
"05-04-2021","02:00-02:15","9","30.00","115.00","-","-","-"
"05-04-2021","02:15-02:30","10","30.00","115.00","-","-","-"
"05-04-2021","02:30-02:45","11","30.00","115.00","-","-","-"
"05-04-2021","02:45-03:00","12","30.00","115.00","-","-","-"
"05-04-2021","03:00-03:15","13","30.00","115.00","-","-","-"
"05-04-2021","03:15-03:30","14","30.00","115.00","-","-","-"
"05-04-2021","03:30-03:45","15","30.00","115.00","-","-","-"
"05-04-2021","03:45-04:00","16","30.00","115.00","-","-","-"
"05-04-2021","04:00-04:15","17","30.00","115.00","-","-","-"
"05-04-2021","04:15-04:30","18","30.00","115.00","-","-","-"
"05-04-2021","04:30-04:45","19","30.00","115.00","-","-","-"
"05-04-2021","04:45-05:00","20","30.00","115.00","-","-","-"
"05-04-2021","05:00-05:15","21","10.00","115.00","-","-","-"
"05-04-2021","05:15-05:30","22","10.00","115.00","-","-","-"
"05-04-2021","05:30-05:45","23","10.00","115.00","-","-","-"
"05-04-2021","05:45-06:00","24","10.00","115.00","-","-","-"
"05-04-2021","06:00-06:15","25","10.00","115.00","-","-","-"
"05-04-2021","06:15-06:30","26","10.00","115.00","-","-","-"
"05-04-2021","06:30-06:45","27","10.00","115.00","-","-","-"
"05-04-2021","06:45-07:00","28","10.00","115.00","-","-","-"
"05-04-2021","07:00-07:15","29","25.00","115.00","-","-","-"
"05-04-2021","07:15-07:30","30","25.00","115.00","-","-","-"
"05-04-2021","07:30-07:45","31","25.00","115.00","-","-","-"
"05-04-2021","07:45-08:00","32","25.00","115.00","-","-","-"
"05-04-2021","08:00-08:15","33","45.00","115.00","-","-","-"
"05-04-2021","08:15-08:30","34","45.00","115.00","-","-","-"
"05-04-2021","08:30-08:45","35","45.00","115.00","-","-","-"
"05-04-2021","08:45-09:00","36","45.00","115.00","-","-","-"
"05-04-2021","09:00-09:15","37","45.00","115.00","-","-","-"
"05-04-2021","09:15-09:30","38","45.00","115.00","-","-","-"
"05-04-2021","09:30-09:45","39","45.00","115.00","-","-","-"
"05-04-2021","09:45-10:00","40","45.00","115.00","-","-","-"
"05-04-2021","10:00-10:15","41","35.00","115.00","-","-","-"
"05-04-2021","10:15-10:30","42","35.00","115.00","-","-","-"
"05-04-2021","10:30-10:45","43","35.00","115.00","-","-","-"
"05-04-2021","10:45-11:00","44","35.00","115.00","-","-","-"
"05-04-2021","11:00-11:15","45","35.00","115.00","-","-","-"
"05-04-2021","11:15-11:30","46","35.00","115.00","-","-","-"
"05-04-2021","11:30-11:45","47","35.00","115.00","-","-","-"
"05-04-2021","11:45-12:00","48","35.00","115.00","-","-","-"
"05-04-2021","12:00-12:15","49","35.00","115.00","-","-","-"
"05-04-2021","12:15-12:30","50","35.00","115.00","-","-","-"
"05-04-2021","12:30-12:45","51","35.00","115.00","-","-","-"
"05-04-2021","12:45-13:00","52","35.00","115.00","-","-","-"
"05-04-2021","13:00-13:15","53","15.00","115.00","-","-","-"
"05-04-2021","13:15-13:30","54","15.00","115.00","-","-","-"
"05-04-2021","13:30-13:45","55","15.00","115.00","-","-","-"
"05-04-2021","13:45-14:00","56","15.00","115.00","-","-","-"
"05-04-2021","14:00-14:15","57","15.00","115.00","-","-","-"
"05-04-2021","14:15-14:30","58","15.00","115.00","-","-","-"
"05-04-2021","14:30-14:45","59","15.00","115.00","-","-","-"
"05-04-2021","14:45-15:00","60","15.00","115.00","-","-","-"
"05-04-2021","15:00-15:15","61","15.00","115.00","-","-","-"
"05-04-2021","15:15-15:30","62","15.00","115.00","-","-","-"
"05-04-2021","15:30-15:45","63","15.00","115.00","-","-","-"
"05-04-2021","15:45-16:00","64","15.00","115.00","-","-","-"
"05-04-2021","16:00-16:15","65","15.00","115.00","-","-","-"
"05-04-2021","16:15-16:30","66","15.00","115.00","-","-","-"
"05-04-2021","16:30-16:45","67","15.00","115.00","-","-","-"
"05-04-2021","16:45-17:00","68","15.00","115.00","-","-","-"
"05-04-2021","17:00-17:15","69","15.00","115.00","-","-","-"
"05-04-2021","17:15-17:30","70","15.00","115.00","-","-","-"
"05-04-2021","17:30-17:45","71","15.00","115.00","-","-","-"
"05-04-2021","17:45-18:00","72","15.00","115.00","-","-","-"
"05-04-2021","18:00-18:15","73","15.00","115.00","-","-","-"
"05-04-2021","18:15-18:30","74","15.00","115.00","-","-","-"
"05-04-2021","18:30-18:45","75","15.00","115.00","-","-","-"
"05-04-2021","18:45-19:00","76","15.00","25.00","-","-","-"
"05-04-2021","19:00-19:15","77","15.00","25.00","-","-","-"
"05-04-2021","19:15-19:30","78","15.00","25.00","-","-","-"
"05-04-2021","19:30-19:45","79","15.00","25.00","-","-","-"
"05-04-2021","19:45-20:00","80","15.00","25.00","-","-","-"
"05-04-2021","20:00-20:15","81","0.00","25.00","-","-","-"
"05-04-2021","20:15-20:30","82","0.00","25.00","-","-","-"
"05-04-2021","20:30-20:45","83","0.00","25.00","-","-","-"
"05-04-2021","20:45-21:00","84","0.00","25.00","-","-","-"
"05-04-2021","21:00-21:15","85","0.00","25.00","-","-","-"
"05-04-2021","21:15-21:30","86","0.00","25.00","-","-","-"
"05-04-2021","21:30-21:45","87","0.00","25.00","-","-","-"
"05-04-2021","21:45-22:00","88","20.00","25.00","-","-","-"
"05-04-2021","22:00-22:15","89","30.00","25.00","-","-","-"
"05-04-2021","22:15-22:30","90","30.00","25.00","-","-","-"
"05-04-2021","22:30-22:45","91","30.00","25.00","-","-","-"
"05-04-2021","22:45-23:00","92","30.00","25.00","-","-","-"
"05-04-2021","23:00-23:15","93","30.00","25.00","-","-","-"
"05-04-2021","23:15-23:30","94","30.00","25.00","-","-","-"
"05-04-2021","23:30-23:45","95","30.00","25.00","-","-","-"
"05-04-2021","23:45-24:00","96","30.00","25.00","-","-","-"